File name	rwta_29_d2.kcd
Result analysis file name	rwta_29_d2_2p.raf
Subject	v016_RWTA_22_28_29_3
Gender	
Age
Memo
Free comment 1	Patient identificati	RWTA22, RWTA28, RWTA29, RWTA39
Free comment 2	Recording identifica	C:\Users\olsonra\Desktop\EDF_c
Free comment 3	Start time	07/19/2018 07:00:00
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
				
7/19/2018 07:00:00	0	NR	0	
7/19/2018 07:00:04	1	NR	0	
7/19/2018 07:00:08	2	NR	0	
7/19/2018 07:00:12	3	W	0	
7/19/2018 07:00:16	4	W	0	
7/19/2018 07:00:20	5	W	0	
7/19/2018 07:00:24	6	W	0	
7/19/2018 07:00:28	7	NR	0	
7/19/2018 07:00:32	8	NR	0	
7/19/2018 07:00:36	9	NR	0	
7/19/2018 07:00:40	10	NR	0	
7/19/2018 07:00:44	11	NR	0	
7/19/2018 07:00:48	12	NR	0	
7/19/2018 07:00:52	13	W	0	
7/19/2018 07:00:56	14	W	0	
7/19/2018 07:01:00	15	W	0	
7/19/2018 07:01:04	16	NR	0	
7/19/2018 07:01:08	17	NR	0	
7/19/2018 07:01:12	18	NR	0	
7/19/2018 07:01:16	19	NR	0	
7/19/2018 07:01:20	20	NR	0	
7/19/2018 07:01:24	21	NR	0	
7/19/2018 07:01:28	22	NR	0	
7/19/2018 07:01:32	23	NR	0	
7/19/2018 07:01:36	24	NR	0	
7/19/2018 07:01:40	25	NR	0	
7/19/2018 07:01:44	26	NR	0	
7/19/2018 07:01:48	27	NR	0	
7/19/2018 07:01:52	28	NR	0	
7/19/2018 07:01:56	29	NR	0	
7/19/2018 07:02:00	30	NR	0	
7/19/2018 07:02:04	31	NR	0	
7/19/2018 07:02:08	32	NR	0	
7/19/2018 07:02:12	33	NR	0	
7/19/2018 07:02:16	34	NR	0	
7/19/2018 07:02:20	35	NR	0	
7/19/2018 07:02:24	36	NR	0	
7/19/2018 07:02:28	37	NR	0	
7/19/2018 07:02:32	38	NR	0	
7/19/2018 07:02:36	39	NR	0	
7/19/2018 07:02:40	40	NR	0	
7/19/2018 07:02:44	41	NR	0	
7/19/2018 07:02:48	42	NR	0	
7/19/2018 07:02:52	43	NR	0	
7/19/2018 07:02:56	44	NR	0	
7/19/2018 07:03:00	45	NR	0	
7/19/2018 07:03:04	46	NR	0	
7/19/2018 07:03:08	47	NR	0	
7/19/2018 07:03:12	48	NR	0	
7/19/2018 07:03:16	49	NR	0	
7/19/2018 07:03:20	50	NR	0	
7/19/2018 07:03:24	51	NR	0	
7/19/2018 07:03:28	52	NR	0	
7/19/2018 07:03:32	53	NR	0	
7/19/2018 07:03:36	54	NR	0	
7/19/2018 07:03:40	55	NR	0	
7/19/2018 07:03:44	56	NR	0	
7/19/2018 07:03:48	57	R	0	
7/19/2018 07:03:52	58	R	0	
7/19/2018 07:03:56	59	R	0	
7/19/2018 07:04:00	60	R	0	
7/19/2018 07:04:04	61	R	0	
7/19/2018 07:04:08	62	R	0	
7/19/2018 07:04:12	63	R	0	
7/19/2018 07:04:16	64	R	0	
7/19/2018 07:04:20	65	R	0	
7/19/2018 07:04:24	66	R	0	
7/19/2018 07:04:28	67	R	0	
7/19/2018 07:04:32	68	R	0	
7/19/2018 07:04:36	69	R	0	
7/19/2018 07:04:40	70	R	0	
7/19/2018 07:04:44	71	R	0	
7/19/2018 07:04:48	72	R	0	
7/19/2018 07:04:52	73	R	0	
7/19/2018 07:04:56	74	R	0	
7/19/2018 07:05:00	75	R	0	
7/19/2018 07:05:04	76	R	0	
7/19/2018 07:05:08	77	R	0	
7/19/2018 07:05:12	78	R	0	
7/19/2018 07:05:16	79	W	0	
7/19/2018 07:05:20	80	W	0	
7/19/2018 07:05:24	81	W	0	
7/19/2018 07:05:28	82	W	0	
7/19/2018 07:05:32	83	W	0	
7/19/2018 07:05:36	84	R	0	
7/19/2018 07:05:40	85	R	0	
7/19/2018 07:05:44	86	R	0	
7/19/2018 07:05:48	87	R	0	
7/19/2018 07:05:52	88	R	0	
7/19/2018 07:05:56	89	R	0	
7/19/2018 07:06:00	90	R	0	
7/19/2018 07:06:04	91	R	0	
7/19/2018 07:06:08	92	R	0	
7/19/2018 07:06:12	93	NR	0	
7/19/2018 07:06:16	94	W	0	
7/19/2018 07:06:20	95	R	0	
7/19/2018 07:06:24	96	NR	0	
7/19/2018 07:06:28	97	NR	0	
7/19/2018 07:06:32	98	NR	0	
7/19/2018 07:06:36	99	NR	0	
7/19/2018 07:06:40	100	W	0	
7/19/2018 07:06:44	101	NR	0	
7/19/2018 07:06:48	102	NR	0	
7/19/2018 07:06:52	103	NR	0	
7/19/2018 07:06:56	104	W	0	
7/19/2018 07:07:00	105	NR	0	
7/19/2018 07:07:04	106	NR	0	
7/19/2018 07:07:08	107	NR	0	
7/19/2018 07:07:12	108	NR	0	
7/19/2018 07:07:16	109	W	0	
7/19/2018 07:07:20	110	W	0	
7/19/2018 07:07:24	111	W	0	
7/19/2018 07:07:28	112	W	0	
7/19/2018 07:07:32	113	W	0	
7/19/2018 07:07:36	114	W	0	
7/19/2018 07:07:40	115	W	0	
7/19/2018 07:07:44	116	W	0	
7/19/2018 07:07:48	117	W	0	
7/19/2018 07:07:52	118	W	0	
7/19/2018 07:07:56	119	W	0	
7/19/2018 07:08:00	120	W	0	
7/19/2018 07:08:04	121	W	0	
7/19/2018 07:08:08	122	W	0	
7/19/2018 07:08:12	123	W	0	
7/19/2018 07:08:16	124	W	0	
7/19/2018 07:08:20	125	W	0	
7/19/2018 07:08:24	126	W	0	
7/19/2018 07:08:28	127	W	0	
7/19/2018 07:08:32	128	W	0	
7/19/2018 07:08:36	129	W	0	
7/19/2018 07:08:40	130	W	0	
7/19/2018 07:08:44	131	W	0	
7/19/2018 07:08:48	132	W	0	
7/19/2018 07:08:52	133	W	0	
7/19/2018 07:08:56	134	W	0	
7/19/2018 07:09:00	135	W	0	
7/19/2018 07:09:04	136	W	0	
7/19/2018 07:09:08	137	W	0	
7/19/2018 07:09:12	138	W	0	
7/19/2018 07:09:16	139	W	0	
7/19/2018 07:09:20	140	W	0	
7/19/2018 07:09:24	141	W	0	
7/19/2018 07:09:28	142	W	0	
7/19/2018 07:09:32	143	W	0	
7/19/2018 07:09:36	144	W	0	
7/19/2018 07:09:40	145	W	0	
7/19/2018 07:09:44	146	W	0	
7/19/2018 07:09:48	147	W	0	
7/19/2018 07:09:52	148	W	0	
7/19/2018 07:09:56	149	W	0	
7/19/2018 07:10:00	150	W	0	
7/19/2018 07:10:04	151	W	0	
7/19/2018 07:10:08	152	W	0	
7/19/2018 07:10:12	153	W	0	
7/19/2018 07:10:16	154	W	0	
7/19/2018 07:10:20	155	W	0	
7/19/2018 07:10:24	156	W	0	
7/19/2018 07:10:28	157	W	0	
7/19/2018 07:10:32	158	W	0	
7/19/2018 07:10:36	159	W	0	
7/19/2018 07:10:40	160	W	0	
7/19/2018 07:10:44	161	W	0	
7/19/2018 07:10:48	162	W	0	
7/19/2018 07:10:52	163	W	0	
7/19/2018 07:10:56	164	W	0	
7/19/2018 07:11:00	165	W	0	
7/19/2018 07:11:04	166	W	0	
7/19/2018 07:11:08	167	W	0	
7/19/2018 07:11:12	168	W	0	
7/19/2018 07:11:16	169	W	0	
7/19/2018 07:11:20	170	W	0	
7/19/2018 07:11:24	171	W	0	
7/19/2018 07:11:28	172	W	0	
7/19/2018 07:11:32	173	W	0	
7/19/2018 07:11:36	174	W	0	
7/19/2018 07:11:40	175	W	0	
7/19/2018 07:11:44	176	W	0	
7/19/2018 07:11:48	177	W	0	
7/19/2018 07:11:52	178	W	0	
7/19/2018 07:11:56	179	W	0	
7/19/2018 07:12:00	180	W	0	
7/19/2018 07:12:04	181	W	0	
7/19/2018 07:12:08	182	W	0	
7/19/2018 07:12:12	183	W	0	
7/19/2018 07:12:16	184	W	0	
7/19/2018 07:12:20	185	W	0	
7/19/2018 07:12:24	186	W	0	
7/19/2018 07:12:28	187	W	0	
7/19/2018 07:12:32	188	W	0	
7/19/2018 07:12:36	189	W	0	
7/19/2018 07:12:40	190	W	0	
7/19/2018 07:12:44	191	W	0	
7/19/2018 07:12:48	192	W	0	
7/19/2018 07:12:52	193	W	0	
7/19/2018 07:12:56	194	W	0	
7/19/2018 07:13:00	195	W	0	
7/19/2018 07:13:04	196	W	0	
7/19/2018 07:13:08	197	W	0	
7/19/2018 07:13:12	198	W	0	
7/19/2018 07:13:16	199	W	0	
7/19/2018 07:13:20	200	W	0	
7/19/2018 07:13:24	201	W	0	
7/19/2018 07:13:28	202	W	0	
7/19/2018 07:13:32	203	W	0	
7/19/2018 07:13:36	204	W	0	
7/19/2018 07:13:40	205	W	0	
7/19/2018 07:13:44	206	W	0	
7/19/2018 07:13:48	207	W	0	
7/19/2018 07:13:52	208	W	0	
7/19/2018 07:13:56	209	W	0	
7/19/2018 07:14:00	210	W	0	
7/19/2018 07:14:04	211	W	0	
7/19/2018 07:14:08	212	W	0	
7/19/2018 07:14:12	213	W	0	
7/19/2018 07:14:16	214	W	0	
7/19/2018 07:14:20	215	W	0	
7/19/2018 07:14:24	216	W	0	
7/19/2018 07:14:28	217	W	0	
7/19/2018 07:14:32	218	W	0	
7/19/2018 07:14:36	219	W	0	
7/19/2018 07:14:40	220	W	0	
7/19/2018 07:14:44	221	W	0	
7/19/2018 07:14:48	222	W	0	
7/19/2018 07:14:52	223	W	0	
7/19/2018 07:14:56	224	W	0	
7/19/2018 07:15:00	225	W	0	
7/19/2018 07:15:04	226	W	0	
7/19/2018 07:15:08	227	W	0	
7/19/2018 07:15:12	228	W	0	
7/19/2018 07:15:16	229	W	0	
7/19/2018 07:15:20	230	W	0	
7/19/2018 07:15:24	231	W	0	
7/19/2018 07:15:28	232	W	0	
7/19/2018 07:15:32	233	W	0	
