File name	m013_cohortA_BEEG02_day1.kcd
Result analysis file name	m013_cohortA_BEEG02_day1_2p.raf
Subject	m013_cohortA_01_29_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	01/30/2021 13:10:15
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
				
1/30/2021 13:10:15	0	W	0	
1/30/2021 13:10:19	1	W	0	
1/30/2021 13:10:23	2	W	0	
1/30/2021 13:10:27	3	W	0	
1/30/2021 13:10:31	4	W	0	
1/30/2021 13:10:35	5	W	0	
1/30/2021 13:10:39	6	W	0	
1/30/2021 13:10:43	7	W	0	
1/30/2021 13:10:47	8	W	0	
1/30/2021 13:10:51	9	W	0	
1/30/2021 13:10:55	10	W	0	
1/30/2021 13:10:59	11	W	0	
1/30/2021 13:11:03	12	W	0	
1/30/2021 13:11:07	13	W	0	
1/30/2021 13:11:11	14	W	0	
1/30/2021 13:11:15	15	W	0	
1/30/2021 13:11:19	16	W	0	
1/30/2021 13:11:23	17	W	0	
1/30/2021 13:11:27	18	W	0	
1/30/2021 13:11:31	19	W	0	
1/30/2021 13:11:35	20	W	0	
1/30/2021 13:11:39	21	W	0	
1/30/2021 13:11:43	22	W	0	
1/30/2021 13:11:47	23	W	0	
1/30/2021 13:11:51	24	W	0	
1/30/2021 13:11:55	25	W	0	
1/30/2021 13:11:59	26	W	0	
1/30/2021 13:12:03	27	W	0	
1/30/2021 13:12:07	28	W	0	
1/30/2021 13:12:11	29	W	0	
1/30/2021 13:12:15	30	W	0	
1/30/2021 13:12:19	31	W	0	
1/30/2021 13:12:23	32	W	0	
1/30/2021 13:12:27	33	W	0	
1/30/2021 13:12:31	34	W	0	
1/30/2021 13:12:35	35	W	0	
1/30/2021 13:12:39	36	W	0	
1/30/2021 13:12:43	37	W	0	
1/30/2021 13:12:47	38	W	0	
1/30/2021 13:12:51	39	W	0	
1/30/2021 13:12:55	40	W	0	
1/30/2021 13:12:59	41	W	0	
1/30/2021 13:13:03	42	W	0	
1/30/2021 13:13:07	43	W	0	
1/30/2021 13:13:11	44	W	0	
1/30/2021 13:13:15	45	W	0	
1/30/2021 13:13:19	46	W	0	
1/30/2021 13:13:23	47	W	0	
1/30/2021 13:13:27	48	W	0	
1/30/2021 13:13:31	49	W	0	
1/30/2021 13:13:35	50	W	0	
1/30/2021 13:13:39	51	W	0	
1/30/2021 13:13:43	52	W	0	
1/30/2021 13:13:47	53	W	0	
