File name	m013_cohortC_BEEG12_day1.kcd
Result analysis file name	m013_cohortC_BEEG12_day1_2p.raf
Subject	m013_cohortC_03_22_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	03/23/2021 13:16:43
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
				
3/23/2021 13:16:43	0	NR	0	
3/23/2021 13:16:47	1	NR	0	
3/23/2021 13:16:51	2	NR	0	
3/23/2021 13:16:55	3	NR	0	
3/23/2021 13:16:59	4	NR	0	
3/23/2021 13:17:03	5	NR	0	
3/23/2021 13:17:07	6	NR	0	
3/23/2021 13:17:11	7	NR	0	
3/23/2021 13:17:15	8	NR	0	
3/23/2021 13:17:19	9	NR	0	
3/23/2021 13:17:23	10	NR	0	
3/23/2021 13:17:27	11	NR	0	
3/23/2021 13:17:31	12	NR	0	
3/23/2021 13:17:35	13	NR	0	
3/23/2021 13:17:39	14	NR	0	
3/23/2021 13:17:43	15	NR	0	
3/23/2021 13:17:47	16	NR	0	
3/23/2021 13:17:51	17	NR	0	
3/23/2021 13:17:55	18	NR	0	
3/23/2021 13:17:59	19	NR	0	
3/23/2021 13:18:03	20	NR	0	
3/23/2021 13:18:07	21	NR	0	
3/23/2021 13:18:11	22	NR	0	
3/23/2021 13:18:15	23	NR	0	
3/23/2021 13:18:19	24	NR	0	
3/23/2021 13:18:23	25	NR	0	
3/23/2021 13:18:27	26	NR	0	
3/23/2021 13:18:31	27	NR	0	
3/23/2021 13:18:35	28	NR	0	
3/23/2021 13:18:39	29	NR	0	
3/23/2021 13:18:43	30	NR	0	
3/23/2021 13:18:47	31	NR	0	
3/23/2021 13:18:51	32	NR	0	
3/23/2021 13:18:55	33	NR	0	
3/23/2021 13:18:59	34	NR	0	
3/23/2021 13:19:03	35	NR	0	
3/23/2021 13:19:07	36	NR	0	
3/23/2021 13:19:11	37	NR	0	
3/23/2021 13:19:15	38	NR	0	
3/23/2021 13:19:19	39	NR	0	
3/23/2021 13:19:23	40	NR	0	
3/23/2021 13:19:27	41	NR	0	
3/23/2021 13:19:31	42	NR	0	
3/23/2021 13:19:35	43	NR	0	
3/23/2021 13:19:39	44	NR	0	
3/23/2021 13:19:43	45	NR	0	
3/23/2021 13:19:47	46	NR	0	
3/23/2021 13:19:51	47	NR	0	
3/23/2021 13:19:55	48	NR	0	
3/23/2021 13:19:59	49	NR	0	
3/23/2021 13:20:03	50	NR	0	
3/23/2021 13:20:07	51	NR	0	
3/23/2021 13:20:11	52	NR	0	
3/23/2021 13:20:15	53	NR	0	
3/23/2021 13:20:19	54	NR	0	
3/23/2021 13:20:23	55	NR	0	
3/23/2021 13:20:27	56	NR	0	
3/23/2021 13:20:31	57	NR	0	
3/23/2021 13:20:35	58	NR	0	
3/23/2021 13:20:39	59	NR	0	
3/23/2021 13:20:43	60	NR	0	
3/23/2021 13:20:47	61	NR	0	
3/23/2021 13:20:51	62	NR	0	
3/23/2021 13:20:55	63	NR	0	
3/23/2021 13:20:59	64	NR	0	
3/23/2021 13:21:03	65	NR	0	
3/23/2021 13:21:07	66	NR	0	
3/23/2021 13:21:11	67	NR	0	
3/23/2021 13:21:15	68	NR	0	
3/23/2021 13:21:19	69	NR	0	
3/23/2021 13:21:23	70	NR	0	
3/23/2021 13:21:27	71	NR	0	
3/23/2021 13:21:31	72	NR	0	
3/23/2021 13:21:35	73	NR	0	
3/23/2021 13:21:39	74	NR	0	
3/23/2021 13:21:43	75	NR	0	
3/23/2021 13:21:47	76	NR	0	
3/23/2021 13:21:51	77	NR	0	
3/23/2021 13:21:55	78	NR	0	
3/23/2021 13:21:59	79	NR	0	
3/23/2021 13:22:03	80	NR	0	
3/23/2021 13:22:07	81	NR	0	
3/23/2021 13:22:11	82	NR	0	
3/23/2021 13:22:15	83	NR	0	
3/23/2021 13:22:19	84	NR	0	
3/23/2021 13:22:23	85	NR	0	
3/23/2021 13:22:27	86	NR	0	
3/23/2021 13:22:31	87	NR	0	
3/23/2021 13:22:35	88	NR	0	
3/23/2021 13:22:39	89	NR	0	
3/23/2021 13:22:43	90	NR	0	
3/23/2021 13:22:47	91	NR	0	
3/23/2021 13:22:51	92	NR	0	
3/23/2021 13:22:55	93	NR	0	
3/23/2021 13:22:59	94	NR	0	
3/23/2021 13:23:03	95	NR	0	
3/23/2021 13:23:07	96	NR	0	
3/23/2021 13:23:11	97	NR	0	
3/23/2021 13:23:15	98	NR	0	
3/23/2021 13:23:19	99	NR	0	
3/23/2021 13:23:23	100	NR	0	
3/23/2021 13:23:27	101	NR	0	
3/23/2021 13:23:31	102	NR	0	
3/23/2021 13:23:35	103	NR	0	
3/23/2021 13:23:39	104	NR	0	
3/23/2021 13:23:43	105	NR	0	
3/23/2021 13:23:47	106	NR	0	
3/23/2021 13:23:51	107	NR	0	
3/23/2021 13:23:55	108	NR	0	
3/23/2021 13:23:59	109	NR	0	
3/23/2021 13:24:03	110	NR	0	
3/23/2021 13:24:07	111	NR	0	
3/23/2021 13:24:11	112	NR	0	
3/23/2021 13:24:15	113	NR	0	
3/23/2021 13:24:19	114	NR	0	
3/23/2021 13:24:23	115	NR	0	
3/23/2021 13:24:27	116	NR	0	
3/23/2021 13:24:31	117	NR	0	
3/23/2021 13:24:35	118	NR	0	
3/23/2021 13:24:39	119	NR	0	
3/23/2021 13:24:43	120	NR	0	
3/23/2021 13:24:47	121	NR	0	
3/23/2021 13:24:51	122	NR	0	
3/23/2021 13:24:55	123	NR	0	
3/23/2021 13:24:59	124	NR	0	
3/23/2021 13:25:03	125	NR	0	
3/23/2021 13:25:07	126	NR	0	
3/23/2021 13:25:11	127	NR	0	
3/23/2021 13:25:15	128	NR	0	
3/23/2021 13:25:19	129	NR	0	
3/23/2021 13:25:23	130	NR	0	
3/23/2021 13:25:27	131	NR	0	
3/23/2021 13:25:31	132	NR	0	
3/23/2021 13:25:35	133	NR	0	
3/23/2021 13:25:39	134	NR	0	
3/23/2021 13:25:43	135	NR	0	
3/23/2021 13:25:47	136	NR	0	
3/23/2021 13:25:51	137	NR	0	
3/23/2021 13:25:55	138	NR	0	
3/23/2021 13:25:59	139	NR	0	
3/23/2021 13:26:03	140	NR	0	
3/23/2021 13:26:07	141	NR	0	
3/23/2021 13:26:11	142	NR	0	
3/23/2021 13:26:15	143	NR	0	
3/23/2021 13:26:19	144	NR	0	
3/23/2021 13:26:23	145	NR	0	
3/23/2021 13:26:27	146	NR	0	
3/23/2021 13:26:31	147	NR	0	
3/23/2021 13:26:35	148	NR	0	
3/23/2021 13:26:39	149	NR	0	
3/23/2021 13:26:43	150	NR	0	
3/23/2021 13:26:47	151	NR	0	
3/23/2021 13:26:51	152	NR	0	
3/23/2021 13:26:55	153	NR	0	
3/23/2021 13:26:59	154	NR	0	
3/23/2021 13:27:03	155	NR	0	
3/23/2021 13:27:07	156	NR	0	
3/23/2021 13:27:11	157	NR	0	
3/23/2021 13:27:15	158	NR	0	
3/23/2021 13:27:19	159	NR	0	
3/23/2021 13:27:23	160	NR	0	
3/23/2021 13:27:27	161	NR	0	
3/23/2021 13:27:31	162	NR	0	
3/23/2021 13:27:35	163	NR	0	
3/23/2021 13:27:39	164	NR	0	
3/23/2021 13:27:43	165	NR	0	
3/23/2021 13:27:47	166	NR	0	
3/23/2021 13:27:51	167	NR	0	
3/23/2021 13:27:55	168	W	0	
3/23/2021 13:27:59	169	W	0	
3/23/2021 13:28:03	170	W	0	
3/23/2021 13:28:07	171	W	0	
3/23/2021 13:28:11	172	W	0	
3/23/2021 13:28:15	173	W	0	
3/23/2021 13:28:19	174	W	0	
3/23/2021 13:28:23	175	W	0	
3/23/2021 13:28:27	176	W	0	
3/23/2021 13:28:31	177	W	0	
3/23/2021 13:28:35	178	W	0	
3/23/2021 13:28:39	179	W	0	
3/23/2021 13:28:43	180	W	0	
3/23/2021 13:28:47	181	W	0	
3/23/2021 13:28:51	182	W	0	
3/23/2021 13:28:55	183	W	0	
3/23/2021 13:28:59	184	W	0	
3/23/2021 13:29:03	185	W	0	
3/23/2021 13:29:07	186	W	0	
3/23/2021 13:29:11	187	W	0	
3/23/2021 13:29:15	188	W	0	
3/23/2021 13:29:19	189	W	0	
3/23/2021 13:29:23	190	W	0	
3/23/2021 13:29:27	191	W	0	
3/23/2021 13:29:31	192	W	0	
3/23/2021 13:29:35	193	W	0	
3/23/2021 13:29:39	194	W	0	
3/23/2021 13:29:43	195	W	0	
3/23/2021 13:29:47	196	W	0	
3/23/2021 13:29:51	197	W	0	
3/23/2021 13:29:55	198	W	0	
3/23/2021 13:29:59	199	W	0	
3/23/2021 13:30:03	200	W	0	
3/23/2021 13:30:07	201	W	0	
3/23/2021 13:30:11	202	W	0	
3/23/2021 13:30:15	203	W	0	
3/23/2021 13:30:19	204	W	0	
3/23/2021 13:30:23	205	W	0	
3/23/2021 13:30:27	206	W	0	
3/23/2021 13:30:31	207	W	0	
3/23/2021 13:30:35	208	W	0	
3/23/2021 13:30:39	209	W	0	
3/23/2021 13:30:43	210	W	0	
3/23/2021 13:30:47	211	W	0	
3/23/2021 13:30:51	212	W	0	
3/23/2021 13:30:55	213	W	0	
3/23/2021 13:30:59	214	W	0	
3/23/2021 13:31:03	215	W	0	
3/23/2021 13:31:07	216	W	0	
3/23/2021 13:31:11	217	W	0	
3/23/2021 13:31:15	218	W	0	
3/23/2021 13:31:19	219	W	0	
3/23/2021 13:31:23	220	W	0	
3/23/2021 13:31:27	221	W	0	
3/23/2021 13:31:31	222	W	0	
3/23/2021 13:31:35	223	W	0	
3/23/2021 13:31:39	224	W	0	
3/23/2021 13:31:43	225	W	0	
3/23/2021 13:31:47	226	W	0	
3/23/2021 13:31:51	227	W	0	
3/23/2021 13:31:55	228	W	0	
3/23/2021 13:31:59	229	W	0	
