File name	m013_cohortD_BEEG13_day1.kcd
Result analysis file name	m013_cohortD_BEEG13_day1_2p.raf
Subject	m013_cohortD_04_19_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	04/20/2021 11:13:46
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
				
4/20/2021 11:13:46	0	W	0	
4/20/2021 11:13:50	1	W	0	
4/20/2021 11:13:54	2	W	0	
4/20/2021 11:13:58	3	W	0	
4/20/2021 11:14:02	4	W	0	
4/20/2021 11:14:06	5	W	0	
4/20/2021 11:14:10	6	W	0	
4/20/2021 11:14:14	7	W	0	
4/20/2021 11:14:18	8	W	0	
4/20/2021 11:14:22	9	W	0	
4/20/2021 11:14:26	10	W	0	
4/20/2021 11:14:30	11	W	0	
4/20/2021 11:14:34	12	W	0	
4/20/2021 11:14:38	13	W	0	
4/20/2021 11:14:42	14	W	0	
4/20/2021 11:14:46	15	W	0	
4/20/2021 11:14:50	16	W	0	
4/20/2021 11:14:54	17	W	0	
4/20/2021 11:14:58	18	W	0	
4/20/2021 11:15:02	19	W	0	
4/20/2021 11:15:06	20	W	0	
4/20/2021 11:15:10	21	W	0	
4/20/2021 11:15:14	22	W	0	
4/20/2021 11:15:18	23	W	0	
4/20/2021 11:15:22	24	W	0	
4/20/2021 11:15:26	25	W	0	
4/20/2021 11:15:30	26	W	0	
4/20/2021 11:15:34	27	W	0	
4/20/2021 11:15:38	28	W	0	
4/20/2021 11:15:42	29	W	0	
4/20/2021 11:15:46	30	W	0	
4/20/2021 11:15:50	31	W	0	
4/20/2021 11:15:54	32	W	0	
4/20/2021 11:15:58	33	W	0	
4/20/2021 11:16:02	34	W	0	
4/20/2021 11:16:06	35	W	0	
4/20/2021 11:16:10	36	W	0	
4/20/2021 11:16:14	37	W	0	
4/20/2021 11:16:18	38	W	0	
4/20/2021 11:16:22	39	W	0	
4/20/2021 11:16:26	40	W	0	
4/20/2021 11:16:30	41	W	0	
4/20/2021 11:16:34	42	W	0	
4/20/2021 11:16:38	43	W	0	
4/20/2021 11:16:42	44	W	0	
4/20/2021 11:16:46	45	W	0	
4/20/2021 11:16:50	46	W	0	
4/20/2021 11:16:54	47	W	0	
4/20/2021 11:16:58	48	W	0	
4/20/2021 11:17:02	49	W	0	
4/20/2021 11:17:06	50	W	0	
4/20/2021 11:17:10	51	W	0	
4/20/2021 11:17:14	52	W	0	
4/20/2021 11:17:18	53	W	0	
4/20/2021 11:17:22	54	W	0	
4/20/2021 11:17:26	55	W	0	
4/20/2021 11:17:30	56	W	0	
4/20/2021 11:17:34	57	W	0	
4/20/2021 11:17:38	58	W	0	
4/20/2021 11:17:42	59	W	0	
4/20/2021 11:17:46	60	W	0	
4/20/2021 11:17:50	61	W	0	
4/20/2021 11:17:54	62	W	0	
4/20/2021 11:17:58	63	W	0	
4/20/2021 11:18:02	64	W	0	
4/20/2021 11:18:06	65	W	0	
4/20/2021 11:18:10	66	W	0	
4/20/2021 11:18:14	67	W	0	
4/20/2021 11:18:18	68	W	0	
4/20/2021 11:18:22	69	W	0	
4/20/2021 11:18:26	70	W	0	
4/20/2021 11:18:30	71	W	0	
4/20/2021 11:18:34	72	W	0	
4/20/2021 11:18:38	73	W	0	
4/20/2021 11:18:42	74	W	0	
4/20/2021 11:18:46	75	W	0	
4/20/2021 11:18:50	76	W	0	
4/20/2021 11:18:54	77	W	0	
4/20/2021 11:18:58	78	W	0	
4/20/2021 11:19:02	79	W	0	
4/20/2021 11:19:06	80	W	0	
4/20/2021 11:19:10	81	W	0	
4/20/2021 11:19:14	82	W	0	
4/20/2021 11:19:18	83	W	0	
4/20/2021 11:19:22	84	W	0	
4/20/2021 11:19:26	85	W	0	
4/20/2021 11:19:30	86	W	0	
4/20/2021 11:19:34	87	W	0	
4/20/2021 11:19:38	88	W	0	
4/20/2021 11:19:42	89	W	0	
4/20/2021 11:19:46	90	W	0	
4/20/2021 11:19:50	91	W	0	
4/20/2021 11:19:54	92	W	0	
4/20/2021 11:19:58	93	W	0	
4/20/2021 11:20:02	94	W	0	
4/20/2021 11:20:06	95	W	0	
4/20/2021 11:20:10	96	W	0	
4/20/2021 11:20:14	97	W	0	
4/20/2021 11:20:18	98	W	0	
4/20/2021 11:20:22	99	W	0	
4/20/2021 11:20:26	100	W	0	
4/20/2021 11:20:30	101	W	0	
4/20/2021 11:20:34	102	W	0	
4/20/2021 11:20:38	103	W	0	
4/20/2021 11:20:42	104	W	0	
4/20/2021 11:20:46	105	W	0	
4/20/2021 11:20:50	106	W	0	
4/20/2021 11:20:54	107	W	0	
4/20/2021 11:20:58	108	W	0	
4/20/2021 11:21:02	109	W	0	
4/20/2021 11:21:06	110	W	0	
4/20/2021 11:21:10	111	W	0	
4/20/2021 11:21:14	112	W	0	
4/20/2021 11:21:18	113	W	0	
4/20/2021 11:21:22	114	W	0	
4/20/2021 11:21:26	115	W	0	
4/20/2021 11:21:30	116	W	0	
4/20/2021 11:21:34	117	W	0	
4/20/2021 11:21:38	118	W	0	
